flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h28,h141,854,854,5
h28,h29,1037,1037,5
h28,h79,38,38,5
h3,h25,1135,1135,5
h3,h9,1381,1381,5
h31,h117,338,338,5
h32,h133,751,751,5
h32,h37,1258,1258,5
h5,h37,887,887,5
h5,h76,412,412,5
h8,h107,320,320,5
h9,h15,7,7,5
h9,h6,143,143,5
h12,h102,1188,1188,4
h12,h110,500,500,4
h12,h73,1502,1502,4
h12,h79,980,980,4
h19,h78,1197,1197,4
h2,h30,1105,1105,4
h2,h4,972,972,4
h21,h17,1246,1246,4
h23,h49,569,569,4
h27,h6,261,261,4
h8,h43,603,603,4
h8,h76,1245,1245,4
h11,h103,108,108,3
h16,h59,1159,1159,3
h20,h109,1015,1015,3
h22,h80,731,731,3
h27,h37,140,140,3
h29,h137,657,657,3
h3,h121,1260,1260,3
h30,h117,942,942,3
h30,h124,1263,1263,3
h9,h105,1519,1519,3
h11,h26,1112,1112,2
h12,h118,614,614,2
h12,h40,1340,1340,2
h13,h67,748,748,2
h17,h15,1240,1240,2
h19,h136,788,788,2
h22,h114,1437,1437,2
h31,h143,682,682,2
h32,h88,718,718,2
h6,h139,1350,1350,2
h15,h6,1400,1400,1
h16,h68,923,923,1
h25,h131,371,371,1
h29,h17,1055,1055,1
h29,h63,810,810,1
h3,h125,503,503,1
h31,h85,1314,1314,1
h32,h17,1147,1147,1
h4,h139,703,703,1
h7,h125,869,869,1
