src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
5,19,1269,1269,6,16448,45,61,-16,35.56,OBM
132,28,956,956,17,12559,66,89,-23,34.85,OBM
53,20,1214,1214,15,15874,95,128,-33,34.74,OBM
70,19,542,542,36,6820,301,404,-103,34.22,OBM
131,24,947,947,17,12471,59,79,-20,33.9,OBM
34,26,907,907,33,11862,87,116,-29,33.33,OBM
95,5,986,986,6,12940,36,48,-12,33.33,OBM
105,25,297,297,6,3266,36,48,-12,33.33,OBM
117,11,985,985,16,12926,84,112,-28,33.33,OBM
132,27,580,580,28,7397,127,169,-42,33.07,OBM
40,31,798,798,24,10389,144,191,-47,32.64,OBM
88,21,973,973,6,12741,46,61,-15,32.61,OBM
54,18,601,601,6,7637,37,49,-12,32.43,OBM
33,8,373,373,6,4252,34,45,-11,32.35,OBM
109,24,735,735,31,9401,122,161,-39,31.97,OBM
68,21,1222,1222,6,15985,47,62,-15,31.91,OBM
73,29,1417,1417,6,18505,47,62,-15,31.91,OBM
28,17,1483,1483,6,19402,38,50,-12,31.58,OBM
99,28,851,851,18,11143,70,92,-22,31.43,OBM
26,27,1265,1265,6,16385,16,21,-5,31.25,OBM
11,8,831,831,6,10855,39,51,-12,30.77,OBM
89,31,1100,1100,6,14365,56,73,-17,30.36,OBM
84,22,1234,1234,6,16098,30,39,-9,30.0,OBM
13,5,206,206,13,2346,47,61,-14,29.79,OBM
75,9,258,258,30,2968,169,219,-50,29.59,OBM
85,25,582,582,6,7437,44,57,-13,29.55,OBM
40,29,1467,1467,65,19153,1453,1882,-429,29.53,OBM
122,7,403,403,6,4744,34,44,-10,29.41,OBM
107,10,1376,1376,44,17839,1314,1696,-382,29.07,OBM
4,20,709,709,6,8882,42,54,-12,28.57,OBM
113,21,979,979,6,12855,46,59,-13,28.26,OBM
57,13,1205,1205,6,15816,50,64,-14,28.0,OBM
18,5,499,499,18,6265,50,64,-14,28.0,OBM
121,30,629,629,6,7945,50,64,-14,28.0,OBM
32,18,234,234,6,2663,18,23,-5,27.78,OBM
129,17,573,573,6,7259,36,46,-10,27.78,OBM
41,29,1244,1244,47,16181,253,323,-70,27.67,OBM
16,13,549,549,74,6887,416,531,-115,27.64,OBM
8,7,308,308,41,3408,135,172,-37,27.41,OBM
108,32,477,477,20,5934,161,205,-44,27.33,OBM
1,3,1054,1054,18,13696,88,112,-24,27.27,OBM
102,12,46,46,17,546,74,94,-20,27.03,OBM
144,24,655,655,13,8224,73,92,-19,26.03,OBM
87,15,1323,1323,11,17172,50,63,-13,26.0,OBM
30,13,553,553,6,6933,54,68,-14,25.93,OBM
52,12,1103,1103,14,14436,97,122,-25,25.77,OBM
133,12,861,861,6,11210,43,54,-11,25.58,OBM
74,26,259,259,29,2968,96,120,-24,25.0,OBM
64,12,119,119,18,1457,60,75,-15,25.0,OBM
20,24,691,691,16,8690,48,60,-12,25.0,OBM
96,27,1454,1454,33,19012,1204,1502,-298,24.75,OBM
13,23,789,789,6,10265,43,53,-10,23.26,OBM
88,8,558,558,6,6969,43,53,-10,23.26,OBM
49,19,563,563,45,7050,320,394,-74,23.12,OBM
69,1,1460,1460,6,19089,35,43,-8,22.86,OBM
96,3,1035,1035,13,13508,75,92,-17,22.67,OBM
93,29,1148,1148,24,14964,1123,1375,-252,22.44,OBM
47,16,386,386,22,4452,78,95,-17,21.79,OBM
57,19,623,623,43,7792,331,403,-72,21.75,OBM
22,25,474,474,36,5833,149,180,-31,20.81,OBM
33,7,279,279,31,3106,135,163,-28,20.74,OBM
50,12,1337,1337,15,17414,78,94,-16,20.51,OBM
78,12,1102,1102,6,14432,54,65,-11,20.37,OBM
10,27,1108,1108,6,14463,64,77,-13,20.31,OBM
96,24,452,452,29,5538,141,169,-28,19.86,OBM
28,5,544,544,6,6833,51,61,-10,19.61,OBM
130,30,723,723,40,9235,195,233,-38,19.49,OBM
89,5,187,187,19,2093,77,92,-15,19.48,OBM
141,11,717,717,6,9059,77,92,-15,19.48,OBM
85,13,943,943,96,12445,2696,3210,-514,19.07,OBM
21,30,621,621,32,7784,169,201,-32,18.93,OBM
90,7,313,313,6,3497,59,70,-11,18.64,OBM
60,20,40,40,11,486,54,64,-10,18.52,OBM
69,28,71,71,41,869,156,184,-28,17.95,OBM
47,5,183,183,12,2053,56,66,-10,17.86,OBM
83,24,632,632,73,7964,286,337,-51,17.83,OBM
116,5,533,533,13,6700,90,106,-16,17.78,OBM
113,22,1368,1368,7,17735,34,40,-6,17.65,OBM
42,16,1335,1335,19,17394,115,135,-20,17.39,OBM
52,17,1310,1310,6,16954,35,41,-6,17.14,OBM
31,27,369,369,7,4123,24,28,-4,16.67,OBM
88,30,240,240,11,2734,37,43,-6,16.22,OBM
70,6,593,593,40,7560,176,204,-28,15.91,OBM
48,18,528,528,46,6676,197,228,-31,15.74,OBM
83,11,351,351,15,3975,96,111,-15,15.62,OBM
122,30,733,733,18,9324,109,126,-17,15.6,OBM
113,15,446,446,18,5424,90,104,-14,15.56,OBM
80,25,1267,1267,6,16439,45,52,-7,15.56,OBM
10,10,1343,1343,6,17456,45,52,-7,15.56,OBM
56,30,441,441,12,5392,91,105,-14,15.38,OBM
128,26,579,579,6,7396,39,45,-6,15.38,OBM
29,3,226,226,17,2577,125,144,-19,15.2,OBM
52,14,1170,1170,6,15267,33,38,-5,15.15,OBM
11,14,281,281,17,3117,27,31,-4,14.81,OBM
83,29,752,752,19,9660,149,171,-22,14.77,OBM
57,20,1509,1509,6,19763,34,39,-5,14.71,OBM
20,30,310,310,12,3467,55,63,-8,14.55,OBM
107,20,324,324,35,3570,127,145,-18,14.17,OBM
46,22,274,274,13,3029,71,81,-10,14.08,OBM
16,27,348,348,10,3947,50,57,-7,14.0,OBM
30,15,436,436,6,5289,43,49,-6,13.95,OBM
21,8,257,257,94,2960,369,419,-50,13.55,OBM
107,8,320,320,36,3561,165,187,-22,13.33,OBM
27,21,514,514,16,6414,30,34,-4,13.33,OBM
72,4,1505,1505,44,19710,1471,1663,-192,13.05,OBM
123,16,1358,1358,23,17584,156,176,-20,12.82,OBM
32,22,863,863,10,11236,39,44,-5,12.82,OBM
57,16,427,427,6,5173,47,53,-6,12.77,OBM
19,4,548,548,6,6874,55,62,-7,12.73,OBM
117,23,995,995,6,13040,48,54,-6,12.5,OBM
131,28,1488,1488,83,19459,1525,1715,-190,12.46,OBM
49,31,1020,1020,6,13304,49,55,-6,12.24,OBM
107,29,303,303,6,3346,33,37,-4,12.12,OBM
82,31,1200,1200,6,15758,59,66,-7,11.86,OBM
137,30,1110,1110,42,14498,1195,1330,-135,11.3,OBM
42,31,243,243,6,2792,45,50,-5,11.11,OBM
39,21,1282,1282,8,16538,63,70,-7,11.11,OBM
144,27,778,778,36,10038,176,195,-19,10.8,OBM
125,14,296,296,15,3256,93,103,-10,10.75,OBM
42,14,1093,1093,6,14310,47,52,-5,10.64,OBM
108,24,1098,1098,14,14346,96,106,-10,10.42,OBM
49,28,870,870,10,11356,58,64,-6,10.34,OBM
97,1,1366,1366,6,17683,49,54,-5,10.2,OBM
57,17,272,272,32,3017,1189,1309,-120,10.09,OBM
43,24,245,245,24,2814,50,55,-5,10.0,OBM
111,18,1080,1080,6,14038,50,55,-5,10.0,OBM
142,8,241,241,6,2742,40,44,-4,10.0,OBM
