src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
125,14,296,296,15,3256,93,103,-10,10.75,OBM
93,29,1118,1118,48,14573,122,489,-367,300.82,OBM
107,20,324,324,35,3570,127,145,-18,14.17,OBM
48,30,1261,1261,16,16348,72,150,-78,108.33,OBM
43,14,133,133,6,1583,33,34,-1,3.03,OBM
108,27,1393,1393,6,18101,49,49,0,0.0,tie
23,32,75,75,15,928,36,32,4,12.5,ABM
107,29,303,303,6,3346,33,37,-4,12.12,OBM
3,15,1192,1192,12,15711,35,88,-53,151.43,OBM
20,1,1369,1369,36,17738,2311,442,1869,422.85,ABM
45,25,364,364,6,4107,45,38,7,18.42,ABM
25,17,1476,1476,9,19308,31,62,-31,100.0,OBM
38,31,267,267,14,2995,93,80,13,16.25,ABM
69,14,1311,1311,34,16970,150,345,-195,130.0,OBM
50,23,1318,1318,14,17092,70,128,-58,82.86,OBM
93,26,200,200,6,2299,30,28,2,7.14,ABM
87,6,780,780,6,10102,41,99,-58,141.46,OBM
70,15,111,111,6,1405,33,33,0,0.0,tie
49,28,870,870,10,11356,58,64,-6,10.34,OBM
63,12,1449,1449,6,18938,85,55,30,54.55,ABM
116,3,901,901,8,11815,51,72,-21,41.18,OBM
6,15,1400,1400,22,18191,1113,1132,-19,1.71,OBM
143,7,504,504,6,6330,1043,56,987,1762.5,ABM
87,9,97,97,6,1208,33,35,-2,6.06,OBM
129,22,1377,1377,52,17855,2340,1529,811,53.04,ABM
4,13,1498,1498,6,19544,24,56,-32,133.33,OBM
27,18,207,207,17,2384,35,54,-19,54.29,OBM
124,23,693,693,24,8719,74,198,-124,167.57,OBM
110,7,715,715,6,9034,35,66,-31,88.57,OBM
137,29,657,657,38,8261,214,298,-84,39.25,OBM
43,18,825,825,38,10763,2355,297,2058,692.93,ABM
32,22,863,863,10,11236,39,44,-5,12.82,OBM
114,22,1437,1437,18,18801,90,87,3,3.45,ABM
47,7,835,835,71,10891,2335,449,1886,420.04,ABM
101,15,170,170,33,1937,1189,182,1007,553.3,ABM
52,23,78,78,6,967,38,37,1,2.7,ABM
89,16,1503,1503,6,19696,57,92,-35,61.4,OBM
120,10,115,115,36,1437,81,192,-111,137.04,OBM
30,11,1481,1481,13,19366,3251,83,3168,3816.87,ABM
68,16,923,923,17,12094,1117,132,985,746.21,ABM
80,10,142,142,18,1673,57,61,-4,7.02,OBM
3,18,163,163,25,1881,93,94,-1,1.08,OBM
74,6,578,578,32,7388,79,358,-279,353.16,OBM
144,21,925,925,34,12137,1226,261,965,369.73,ABM
73,13,839,839,19,10921,1145,162,983,606.79,ABM
15,6,9,9,6,160,686,687,-1,0.15,OBM
89,5,187,187,19,2093,77,92,-15,19.48,OBM
17,21,1246,1246,15,16194,91,59,32,54.24,ABM
105,28,1353,1353,17,17522,2133,150,1983,1322.0,ABM
25,5,466,466,6,5746,37,36,1,2.78,ABM
56,5,55,55,16,656,53,53,0,0.0,tie
48,28,637,637,38,8044,1177,302,875,289.74,ABM
75,8,1277,1277,10,16514,1092,1064,28,2.63,ABM
92,12,840,840,6,10923,43,60,-17,39.53,OBM
23,26,1470,1470,34,19256,1109,206,903,438.35,ABM
133,17,868,868,19,11338,104,113,-9,8.65,OBM
29,3,971,971,6,12733,39,90,-51,130.77,OBM
29,4,101,101,13,1289,58,60,-2,3.45,OBM
43,8,900,900,24,11771,139,196,-57,41.01,OBM
31,28,1416,1416,35,18499,1168,272,896,329.41,ABM
4,20,1372,1372,46,17767,179,1566,-1387,774.86,OBM
34,16,1419,1419,6,18541,52,53,-1,1.92,OBM
24,17,229,229,6,2611,42,37,5,13.51,ABM
36,16,77,77,20,952,58,58,0,0.0,tie
95,7,1099,1099,43,14354,177,334,-157,88.7,OBM
32,21,65,65,6,770,19,26,-7,36.84,OBM
3,26,14,14,77,207,127,127,0,0.0,tie
144,31,252,252,52,2932,1676,317,1359,428.71,ABM
11,29,103,103,6,1295,39,39,0,0.0,tie
40,29,1467,1467,65,19153,1453,1882,-429,29.53,OBM
82,21,224,224,6,2574,32,32,0,0.0,tie
104,27,938,938,17,12290,79,141,-62,78.48,OBM
40,12,1340,1340,7,17446,56,122,-66,117.86,OBM
83,12,471,471,41,5786,185,193,-8,4.32,OBM
51,18,1404,1404,45,18239,337,331,6,1.81,ABM
116,12,827,827,6,10791,53,56,-3,5.66,OBM
26,28,464,464,6,5684,26,25,1,4.0,ABM
102,18,650,650,27,8166,1153,168,985,586.31,ABM
75,21,546,546,6,6854,29,46,-17,58.62,OBM
37,9,680,680,6,8558,56,113,-57,101.79,OBM
80,22,731,731,6,9314,66,49,17,34.69,ABM
144,7,1216,1216,8,15907,1031,151,880,582.78,ABM
84,2,960,960,6,12580,46,46,0,0.0,tie
61,13,1220,1220,6,15940,40,72,-32,80.0,OBM
3,6,186,186,33,2088,110,108,2,1.85,ABM
97,1,1366,1366,6,17683,49,54,-5,10.2,OBM
71,20,1328,1328,6,17276,36,79,-43,119.44,OBM
2,26,1321,1321,26,17127,3144,1169,1975,168.95,ABM
43,22,41,41,6,493,34,35,-1,2.94,OBM
32,9,873,873,6,11375,54,100,-46,85.19,OBM
6,19,288,288,79,3187,327,209,118,56.46,ABM
41,23,347,347,30,3923,187,115,72,62.61,ABM
35,18,597,597,6,7612,37,64,-27,72.97,OBM
40,13,515,515,6,6463,38,84,-46,121.05,OBM
81,4,903,903,6,11837,49,105,-56,114.29,OBM
19,4,548,548,6,6874,55,62,-7,12.73,OBM
71,13,1497,1497,19,19541,61,224,-163,267.21,OBM
62,11,1431,1431,74,18766,461,1663,-1202,260.74,OBM
88,18,929,929,45,12202,190,273,-83,43.68,OBM
95,5,986,986,6,12940,36,48,-12,33.33,OBM
7,26,443,443,6,5407,33,35,-2,6.06,OBM
44,24,249,249,46,2876,82,82,0,0.0,tie
29,12,1338,1338,35,17423,137,288,-151,110.22,OBM
13,5,206,206,13,2346,47,61,-14,29.79,OBM
9,4,1212,1212,50,15869,79,2254,-2175,2753.16,OBM
50,32,1243,1243,55,16171,420,581,-161,38.33,OBM
67,31,653,653,58,8215,2438,1637,801,48.93,ABM
47,10,235,235,50,2671,1190,219,971,443.38,ABM
40,31,798,798,24,10389,144,191,-47,32.64,OBM
62,9,1392,1392,28,18072,1168,1158,10,0.86,ABM
135,11,1501,1501,6,19647,35,60,-25,71.43,OBM
72,18,669,669,15,8402,188,146,42,28.77,ABM
53,11,1008,1008,38,13200,220,1396,-1176,534.55,OBM
101,29,963,963,6,12601,1034,49,985,2010.2,ABM
111,18,1080,1080,6,14038,50,55,-5,10.0,OBM
138,6,1394,1394,6,18131,44,122,-78,177.27,OBM
132,28,242,242,13,2789,71,68,3,4.41,ABM
20,30,310,310,12,3467,55,63,-8,14.55,OBM
64,29,233,233,6,2654,32,32,0,0.0,tie
63,26,976,976,6,12837,37,71,-34,91.89,OBM
122,25,222,222,6,2549,43,44,-1,2.33,OBM
122,19,1158,1158,18,15130,116,173,-57,49.14,OBM
53,20,1214,1214,15,15874,95,128,-33,34.74,OBM
134,13,155,155,17,1820,53,50,3,6.0,ABM
144,30,1453,1453,51,18993,1286,471,815,173.04,ABM
47,9,902,902,6,11831,51,140,-89,174.51,OBM
28,29,512,512,6,6392,45,46,-1,2.22,OBM
43,27,1371,1371,17,17744,62,1112,-1050,1693.55,OBM
81,13,118,118,6,1452,35,37,-2,5.71,OBM
18,5,499,499,18,6265,50,64,-14,28.0,OBM
96,3,1035,1035,13,13508,75,92,-17,22.67,OBM
54,23,190,190,6,2131,28,28,0,0.0,tie
97,19,372,372,19,4197,91,82,9,10.98,ABM
68,21,1222,1222,6,15985,47,62,-15,31.91,OBM
124,27,491,491,23,6152,1091,114,977,857.02,ABM
73,19,168,168,50,1927,188,189,-1,0.53,OBM
132,27,1026,1026,49,13367,400,233,167,71.67,ABM
63,19,891,891,40,11648,1348,429,919,214.22,ABM
107,18,218,218,48,2525,124,132,-8,6.45,OBM
48,26,760,760,74,9791,1353,303,1050,346.53,ABM
30,31,1516,1516,6,19890,27,49,-22,81.48,OBM
85,7,263,263,50,2983,241,253,-12,4.98,OBM
78,12,1102,1102,6,14432,54,65,-11,20.37,OBM
30,13,553,553,6,6933,54,68,-14,25.93,OBM
143,31,682,682,16,8571,1217,226,991,438.5,ABM
90,7,313,313,6,3497,59,70,-11,18.64,OBM
37,24,89,89,13,1135,46,47,-1,2.17,OBM
100,8,22,22,95,309,235,235,0,0.0,tie
30,13,169,169,44,1935,101,89,12,13.48,ABM
